taxonID,scientificName,vernacularName,scientificNameAuthority,primaryDiscipline,establishmentMeans,taxonRank,speciesGroup,ffgactstatus,epbcactStatus,vicadvisorystatus,restrictedFlag,modified,extractDate,status,sourceStatus
500027,Acacia decora,Western Silver Wattle,Rchb.,Flora,,species,Dicotyledons,Endangered,,Vulnerable,,2010-09-16,2023-01-16,Endangered,Endangered
500030,Acacia doratoxylon,Currawang,A. Cunn.,Flora,,species,Dicotyledons,Endangered,,Rare,,2010-09-16,2023-01-16,Endangered,Endangered
500032,Acacia enterocarpa,Jumping-jack Wattle,R.V. Sm.,Flora,,species,Dicotyledons,Endangered,Endangered,Endangered,,2019-03-04,2023-01-16,Endangered,Endangered
505676,Acacia euthycarpa subsp. oblanceolata,Wedderburn Wattle,S. Wright,Flora,,species,Dicotyledons,Endangered,,Vulnerable,,2017-01-19,2023-01-16,Endangered,Endangered
505137,Acacia exudans,Casterton Wattle,Lindl.,Flora,,species,Dicotyledons,Critically Endangered,,Vulnerable,,2020-10-09,2023-01-16,Critically Endangered,Critically Endangered
500035,Acacia flexifolia,Bent-leaf Wattle,A. Cunn. ex Benth.,Flora,,species,Dicotyledons,Endangered,,Rare,,2017-07-21,2023-01-16,Endangered,Endangered
500039,Acacia glandulicarpa,Hairy-pod Wattle,Reader,Flora,,species,Dicotyledons,Endangered,Vulnerable,Vulnerable,,2017-01-19,2023-01-16,Endangered,Endangered
500043,Acacia havilandiorum,Needle Wattle,Maiden,Flora,,species,Dicotyledons,Critically Endangered,,Endangered,,2017-11-22,2023-01-16,Critically Endangered,Critically Endangered
500069,Acacia homalophylla,Yarran Wattle,A. Cunn. ex Benth.,Flora,,species,Dicotyledons,Critically Endangered,,Endangered,,2021-09-25,2023-01-16,Critically Endangered,Critically Endangered
500044,Acacia howittii,Sticky Wattle,F. Muell.,Flora,Native but some stands may be alien,species,Dicotyledons,Vulnerable,,Rare,,2010-09-16,2023-01-16,Vulnerable,Vulnerable
