taxonID,kingdom,class,family,scientificName,vernacularName,scientificNameAuthorship,sourceStatus,Significant,Confidential,status,Endemicity,EPBC Status
1901,Animalia,Aves,Stercorariidae,Stercorarius longicaudus,long-tailed jaeger,"Vieillot, 1819",SL,Y,N,Special least concern,Vagrant (Unknown),
26893,Animalia,Aves,Stercorariidae,Stercorarius maccormicki,South Polar skua,"(Saunders, 1893)",SL,Y,N,Special least concern,Vagrant (International),
1902,Animalia,Aves,Stercorariidae,Stercorarius parasiticus,Arctic jaeger,"(Linnaeus, 1758)",SL,Y,N,Special least concern,Not Endemic to Australia,
1903,Animalia,Aves,Stercorariidae,Stercorarius pomarinus,pomarine jaeger,"(Temminck, 1815)",SL,Y,N,Special least concern,Not Endemic to Australia,
1916,Animalia,Aves,Laridae,Anous stolidus,brown noddy,"(Linnaeus, 1758)",SL,Y,N,Special least concern,Intranational,
1920,Animalia,Aves,Laridae,Chlidonias leucopterus,white-winged black tern,"(Temminck, 1815)",SL,Y,N,Special least concern,Not Endemic to Australia,
1886,Animalia,Aves,Laridae,Gelochelidon nilotica,gull-billed tern,"Gmelin, 1789",SL,Y,N,Special least concern,Not Endemic to Australia,
1896,Animalia,Aves,Laridae,Hydroprogne caspia,Caspian tern,"Pallas, 1770",SL,Y,N,Special least concern,Not Endemic to Australia,
1906,Animalia,Aves,Laridae,Onychoprion anaethetus,bridled tern,"Scopoli, 1786",SL,Y,N,Special least concern,Not Endemic to Australia,
1897,Animalia,Aves,Laridae,Sterna dougallii,roseate tern,"Montagu, 1813",SL,Y,N,Special least concern,Not Endemic to Australia,
1899,Animalia,Aves,Laridae,Sterna hirundo,common tern,"Linnaeus, 1758",SL,Y,N,Special least concern,Not Endemic to Australia,
1890,Animalia,Aves,Laridae,Sterna sumatrana,black-naped tern,"Raffles, 1822",SL,Y,N,Special least concern,Not Endemic to Australia,
1905,Animalia,Aves,Laridae,Sternula albifrons,little tern,"Pallas, 1764",SL,Y,N,Special least concern,Not Endemic to Australia,
1900,Animalia,Aves,Laridae,Sternula nereis exsul,New Caledonian fairy tern,"Mathews, 1912",E,Y,N,Endangered,Vagrant (International),
1895,Animalia,Aves,Laridae,Thalasseus bergii,crested tern,"Lichtenstein, 1823",SL,Y,N,Special least concern,Not Endemic to Australia,
1171,Animalia,Aves,Cacatuidae,Calyptorhynchus lathami,glossy black-cockatoo,"(Temminck, 1807)",V,Y,N,Vulnerable,Intranational,
22493,Animalia,Aves,Cacatuidae,Calyptorhynchus lathami erebus,glossy black-cockatoo (northern),"Schodde & Mason, 1993",V,Y,N,Vulnerable,Queensland Endemic,
22494,Animalia,Aves,Cacatuidae,Calyptorhynchus lathami lathami,glossy black-cockatoo (eastern),"Temminck, 1807",V,Y,N,Vulnerable,Intranational,Vulnerable
1192,Animalia,Aves,Cacatuidae,Lophochroa leadbeateri leadbeateri,Major Mitchell's cockatoo,"(Vigors, 1831)",E,Y,N,Endangered,Intranational,
1175,Animalia,Aves,Cacatuidae,Probosciger aterrimus macgillivrayi,palm cockatoo,"(Mathews, 1912)",E,Y,N,Endangered,Regional Endemic,Vulnerable
1164,Animalia,Aves,Psittacidae,Cyclopsitta diophthalma coxeni,Coxen's fig-parrot,"Gould, 1867",CR,Y,N,Critically Endangered,Intranational,Endangered
1165,Animalia,Aves,Psittacidae,Cyclopsitta diophthalma macleayana,Macleay's fig-parrot,"Ramsay, 1874",V,Y,N,Vulnerable,Queensland Endemic,
1168,Animalia,Aves,Psittacidae,Eclectus roratus macgillivrayi,eclectus parrot (Cape York Peninsula),"Mathews, 1913",V,Y,N,Vulnerable,Queensland Endemic,
1149,Animalia,Aves,Psittacidae,Lathamus discolor,swift parrot,"(Shaw, 1790)",E,Y,N,Endangered,Intranational,Critically Endangered
1153,Animalia,Aves,Psittacidae,Neophema chrysostoma,blue-winged parrot,"(Kuhl, 1820)",V,Y,N,Vulnerable,Intranational,
1133,Animalia,Aves,Psittacidae,Pezoporus occidentalis,night parrot,"Gould, 1861",E,Y,Y,Endangered,Intranational,Endangered
