scientificName,Common Name,sourceStatus,status
Apatelantha chrysotricha,,P2,Priority 2: Poorly-known species
Apatelantha insignis,,P2,Priority 2: Poorly-known species
Apatophyllum macgillivrayi,,P1,Priority 1: Poorly-known species
Aphyllodium beardii,Beard's Sand Dune Pea,P1,Priority 1: Poorly-known species
Aphyllodium glossocarpum,,P3,Priority 3: Poorly-known species
Aphyllodium parvifolium,,P1,Priority 1: Poorly-known species
Apium prostratum subsp. phillipii,,EN,Endangered
Aponogeton hexatepalus,Stalked Water Ribbons,P4,"Priority 4: Rare, Near Threatened"
Aponogeton kimberleyensis,,P3,Priority 3: Poorly-known species
Apowollastonia stirlingii subsp. stirlingii,,P1,Priority 1: Poorly-known species
Apowollastonia verbesinoides,,P1,Priority 1: Poorly-known species
Aristida calycina var. calycina,,P2,Priority 2: Poorly-known species
Aristida dominii,,P1,Priority 1: Poorly-known species
Aristida jerichoensis var. subspinulifera,,P3,Priority 3: Poorly-known species
Aristida kimberleyensis,,P1,Priority 1: Poorly-known species
Aristida lazaridis,,P2,Priority 2: Poorly-known species
Aristida perniciosa,,P1,Priority 1: Poorly-known species
Aristida polyclados,,P1,Priority 1: Poorly-known species
Aristida sciuroides,,P1,Priority 1: Poorly-known species
Arivela kenneallyi,,P2,Priority 2: Poorly-known species
Arnocrinum drummondii,,P3,Priority 3: Poorly-known species
Arnocrinum gracillimum,,P3,Priority 3: Poorly-known species
Arthropodium sp. Yenyenning (G.J. Keighery & N. Gibson 2957),,P1,Priority 1: Poorly-known species
Arthropodium vanleeuwenii,,P2,Priority 2: Poorly-known species
Arthrostylis sp. Kalumburu (K.L. Wilson 10101),,P2,Priority 2: Poorly-known species
Asplenium decurrens,,P4,"Priority 4: Rare, Near Threatened"
Astartea decemcostata,Barrens Astartea,P2,Priority 2: Poorly-known species
Astartea eobalta,,P2,Priority 2: Poorly-known species
Astartea granitica,Granite Astartea,P3,Priority 3: Poorly-known species
Astartea middletonii,,P2,Priority 2: Poorly-known species
Astartea onycis,Clawed Astartea,P4,"Priority 4: Rare, Near Threatened"
Astartea reticulata,,P3,Priority 3: Poorly-known species
Astartea sp. Lake Muir (B.L. Rye 230128 & R.W. Hearn),,P2,Priority 2: Poorly-known species
Astartea transversa,,P2,Priority 2: Poorly-known species
Asteridea archeri,,P1,Priority 1: Poorly-known species
Asteridea croniniana,,P1,Priority 1: Poorly-known species
Asteridea gracilis,,P3,Priority 3: Poorly-known species
Asteridea morawana,,P1,Priority 1: Poorly-known species
Asterolasia drummondii,Gairdner Range Starbush,P4,"Priority 4: Rare, Near Threatened"
Asterolasia grandiflora,,P4,"Priority 4: Rare, Near Threatened"
Asterolasia hyalina,,P2,Priority 2: Poorly-known species
Asteromyrtus arnhemica,,P1,Priority 1: Poorly-known species
Astrebla lappacea,"Curly Mitchell Grass, Wheat Mitchell",P3,Priority 3: Poorly-known species
Astroloma sp. Grass Patch (A.J.G. Wilson 110),,P1,Priority 1: Poorly-known species
Astus duomilia,,P1,Priority 1: Poorly-known species
Astus wittweri,,P2,Priority 2: Poorly-known species
Atriplex eremitis,,P1,Priority 1: Poorly-known species
Atriplex flabelliformis,,P3,Priority 3: Poorly-known species
Atriplex lindleyi subsp. conduplicata,,P3,Priority 3: Poorly-known species
Atriplex muelleri,Mueller's Saltbush,P1,Priority 1: Poorly-known species
Atriplex spinulosa,,P1,Priority 1: Poorly-known species
Atriplex yeelirrie,,VU,Vulnerable
Auranticarpa resinosa,,P1,Priority 1: Poorly-known species
Austrobaeckea columnaris,,P2,Priority 2: Poorly-known species
Austrobaeckea narembeen,,P2,Priority 2: Poorly-known species
Austrobaeckea uncinella,,P3,Priority 3: Poorly-known species
Austroparmelina macrospora,,P3,Priority 3: Poorly-known species
Austrostipa bronweniae,,EN,Endangered
Austrostipa burgesiana,,P1,Priority 1: Poorly-known species
Austrostipa echinata,,P1,Priority 1: Poorly-known species
Austrostipa everettiana,,P1,Priority 1: Poorly-known species
Austrostipa frankliniae,,P2,Priority 2: Poorly-known species
Austrostipa geoffreyi,,P2,Priority 2: Poorly-known species
Austrostipa heteranthera,,P2,Priority 2: Poorly-known species
Austrostipa jacobsiana,,CR,Critically Endangered
Austrostipa koordana,,P1,Priority 1: Poorly-known species
Austrostipa lanata,,P3,Priority 3: Poorly-known species
Austrostipa mundula,,P3,Priority 3: Poorly-known species
Austrostipa nunaginensis,,P3,Priority 3: Poorly-known species
Austrostipa turbinata,,P3,Priority 3: Poorly-known species
Austrostipa vickeryana,,P3,Priority 3: Poorly-known species
Babingtonia cherticola,,P3,Priority 3: Poorly-known species
Babingtonia delicata,,P1,Priority 1: Poorly-known species
Babingtonia fascifolia,,P1,Priority 1: Poorly-known species
Babingtonia maleyae,Narrogin Babingtonia,P2,Priority 2: Poorly-known species
Babingtonia minutifolia,,P1,Priority 1: Poorly-known species
Babingtonia peteriana,,P2,Priority 2: Poorly-known species
Babingtonia triandra,Triplet Babingtonia,P2,Priority 2: Poorly-known species
Babingtonia urbana,Coastal Plain Babingtonia,P3,Priority 3: Poorly-known species
Backhousia gundarara,,P2,Priority 2: Poorly-known species
Baeckea sp. Billeranga Hills (M.E. Trudgen 2206),,P1,Priority 1: Poorly-known species
Baeckea sp. Dandaragan (G. Paczkowska s.n. PERTH 08245606),,P1,Priority 1: Poorly-known species
Baeckea sp. Gibson (K.R. Newbey 11084),,P1,Priority 1: Poorly-known species
Baeckea sp. Helena and Aurora Range (G.J. Keighery 4424),,P1,Priority 1: Poorly-known species
Baeckea sp. Limestone (N. Gibson & M.N. Lyons 1425),,P1,Priority 1: Poorly-known species
Baeckea sp. London Bridge (M.E. Trudgen 5393),,P3,Priority 3: Poorly-known species
Baeckea sp. Morawa (M.A. Langley MAL4177),,P1,Priority 1: Poorly-known species
Baeckea sp. Mount Barloweerie (J.Z. Weber 5079),,P1,Priority 1: Poorly-known species
Baeckea sp. Nolba (M.E. Trudgen MET21632),,P1,Priority 1: Poorly-known species
Baeckea sp. Paynes Find (S. Patrick 1095),,P1,Priority 1: Poorly-known species
Baeckea sp. Perenjori (J.W. Green 1516),,P2,Priority 2: Poorly-known species
Baeckea sp. Sandstone (C.A. Gardner s.n. 26 Oct. 1963),,P3,Priority 3: Poorly-known species
Baeckea sp. Stirling Range (H. Steedman s.n. 03/1933),,P2,Priority 2: Poorly-known species
Baeckea sp. Upper Swan (Miss M. Eaton s.n. 1888),,P1,Priority 1: Poorly-known species
Baeckea sp. Walkaway (A.S. George 11249),,P3,Priority 3: Poorly-known species
Baeckea sp. Western Australia (J. Drummond s.n.),,P1,Priority 1: Poorly-known species
Baeckea sp. Whelarra (A.C. Burns 7),,P2,Priority 2: Poorly-known species
Baeckea sp. Youndegin Hill (A.S. George 15772),,P1,Priority 1: Poorly-known species
Baeckea staminosa,,P1,Priority 1: Poorly-known species
Baeckea subcuneata,,P2,Priority 2: Poorly-known species
Balaustion baiocalyx,,P1,Priority 1: Poorly-known species
Balaustion bimucronatum,,P1,Priority 1: Poorly-known species
Balaustion exsertum,,P3,Priority 3: Poorly-known species
Balaustion filifolium,,P2,Priority 2: Poorly-known species
Balaustion grande,,P3,Priority 3: Poorly-known species
Balaustion grandibracteatum subsp. grandibracteatum,,P3,Priority 3: Poorly-known species
Balaustion grandibracteatum subsp. juncturum,,P2,Priority 2: Poorly-known species
Balaustion grandibracteatum subsp. meridionale,,P2,Priority 2: Poorly-known species
Balaustion hemisphaericum,,P1,Priority 1: Poorly-known species
Balaustion karroun,,P1,Priority 1: Poorly-known species
Balaustion mukinbudin,,P3,Priority 3: Poorly-known species
Balaustion multicaule,,P1,Priority 1: Poorly-known species
Balaustion polyandrum,,P1,Priority 1: Poorly-known species
Balaustion sp. Billyacatting Hill (A.S. George 14349),,P2,Priority 2: Poorly-known species
Balaustion sp. North Ironcap (R.J. Cranfield 10580),,P1,Priority 1: Poorly-known species
Balaustion sp. Yorkrakine (C.A. Gardner s.n. 09/1933),,P1,Priority 1: Poorly-known species
Balaustion spenceri,,P1,Priority 1: Poorly-known species
Balaustion tangerinum,,P1,Priority 1: Poorly-known species
Balaustion thamnoides,,P2,Priority 2: Poorly-known species
Balaustion unguiculatum,,P1,Priority 1: Poorly-known species
Balladonia aervoides,Woolly Beauty-heads,P3,Priority 3: Poorly-known species
Balladonia multiceps,,P2,Priority 2: Poorly-known species
Banksia acanthopoda,,P2,Priority 2: Poorly-known species
Banksia aculeata,,P4,"Priority 4: Rare, Near Threatened"
Banksia acuminata,,P4,"Priority 4: Rare, Near Threatened"
Banksia anatona,Cactus Dryandra,CR,Critically Endangered
Banksia arborea,Yilgarn Dryandra,P4,"Priority 4: Rare, Near Threatened"
Banksia aurantia,Orange Dryandra,VU,Vulnerable
Banksia bella,Wongan Dryandra,P4,"Priority 4: Rare, Near Threatened"
Banksia benthamiana,,P4,"Priority 4: Rare, Near Threatened"
Banksia borealis subsp. elatior,,P3,Priority 3: Poorly-known species
Banksia brownii,Feather-leaved Banksia,CR,Critically Endangered
Banksia catoglypta,,VU,Vulnerable
Banksia chamaephyton,Fishbone Banksia,P4,"Priority 4: Rare, Near Threatened"
Banksia comosa,Wongan Dryandra,P4,"Priority 4: Rare, Near Threatened"
Banksia concinna,,P4,"Priority 4: Rare, Near Threatened"
Banksia corvijuga,,P3,Priority 3: Poorly-known species
Banksia cuneata,Quairading Banksia,EN,Endangered
Banksia cynaroides,,P4,"Priority 4: Rare, Near Threatened"
Banksia cypholoba,,P3,Priority 3: Poorly-known species
Banksia dallanneyi subsp. agricola,,P2,Priority 2: Poorly-known species
Banksia dallanneyi subsp. pollosta,,P3,Priority 3: Poorly-known species
Banksia densa,,P2,Priority 2: Poorly-known species
Banksia drummondii subsp. macrorufa,,P2,Priority 2: Poorly-known species
Banksia elegans,Elegant Banksia,P4,"Priority 4: Rare, Near Threatened"
Banksia epica,,P2,Priority 2: Poorly-known species
Banksia epimicta,,P2,Priority 2: Poorly-known species
Banksia erythrocephala var. inopinata,,P3,Priority 3: Poorly-known species
Banksia fasciculata,,P3,Priority 3: Poorly-known species
Banksia foliolata,,P4,"Priority 4: Rare, Near Threatened"
Banksia foliosissima,,P4,"Priority 4: Rare, Near Threatened"
Banksia fraseri var. crebra,,P3,Priority 3: Poorly-known species
Banksia fraseri var. effusa,,P2,Priority 2: Poorly-known species
Banksia fraseri var. oxycedra,,P3,Priority 3: Poorly-known species
Banksia fuscobractea,Darkbract Banksia,CR,Critically Endangered
Banksia goodii,Good's Banksia,VU,Vulnerable
Banksia hirta,,P4,"Priority 4: Rare, Near Threatened"
Banksia horrida,Prickly Dryandra,P3,Priority 3: Poorly-known species
Banksia idiogenes,,P2,Priority 2: Poorly-known species
Banksia insulanemorecincta,,P4,"Priority 4: Rare, Near Threatened"
Banksia ionthocarpa subsp. chrysophoenix,,CR,Critically Endangered
Banksia ionthocarpa subsp. ionthocarpa,,CR,Critically Endangered
Banksia kippistiana var. paenepeccata,,P3,Priority 3: Poorly-known species
Banksia laevigata subsp. laevigata,Tennis Ball Banksia,P4,"Priority 4: Rare, Near Threatened"
Banksia lepidorhiza,,EN,Endangered
Banksia lullfitzii,,P3,Priority 3: Poorly-known species
Banksia meganotia,,P3,Priority 3: Poorly-known species
Banksia meisneri subsp. ascendens,Scott River Banksia,P4,"Priority 4: Rare, Near Threatened"
Banksia mimica,Summer Honeypot,VU,Vulnerable
Banksia montana,Stirling Range Dryandra,CR,Critically Endangered
Banksia nana,Dwarf Dryandra,P3,Priority 3: Poorly-known species
Banksia nivea subsp. Morangup (M. Pieroni 94/2),,P2,Priority 2: Poorly-known species
Banksia nivea subsp. uliginosa,Swamp Honeypot,EN,Endangered
Banksia nobilis subsp. fragrans,,P3,Priority 3: Poorly-known species
Banksia oligantha,Wagin Banksia,EN,Endangered
Banksia parva,,P4,"Priority 4: Rare, Near Threatened"
Banksia plumosa subsp. denticulata,,P4,"Priority 4: Rare, Near Threatened"
Banksia porrecta,,P4,"Priority 4: Rare, Near Threatened"
Banksia prionophylla,,CR,Critically Endangered
Banksia prolata subsp. archeos,,P2,Priority 2: Poorly-known species
Banksia prolata subsp. calcicola,,P4,"Priority 4: Rare, Near Threatened"
Banksia prolata subsp. prolata,,P3,Priority 3: Poorly-known species
Banksia pseudoplumosa,False PlumedBanksia,EN,Endangered
Banksia pteridifolia subsp. inretita,,P2,Priority 2: Poorly-known species
Banksia pteridifolia subsp. vernalis,,P3,Priority 3: Poorly-known species
Banksia recurvistylis,,P2,Priority 2: Poorly-known species
Banksia rosserae,,P1,Priority 1: Poorly-known species
Banksia rufa subsp. chelomacarpa,,P3,Priority 3: Poorly-known species
Banksia rufa subsp. flavescens,,P3,Priority 3: Poorly-known species
Banksia rufa subsp. magna,,P1,Priority 1: Poorly-known species
Banksia rufa subsp. obliquiloba,,P3,Priority 3: Poorly-known species
Banksia rufa subsp. pumila,,EN,Endangered
Banksia rufa subsp. tutanningensis,,P2,Priority 2: Poorly-known species
Banksia rufistylis,,P2,Priority 2: Poorly-known species
Banksia scabrella,Burma Road Banksia,P4,"Priority 4: Rare, Near Threatened"
Banksia seneciifolia,,P4,"Priority 4: Rare, Near Threatened"
Banksia serra,Serrate-leaved Dryandra,P4,"Priority 4: Rare, Near Threatened"
Banksia serratuloides subsp. perissa,Northern Serrate Dryandra,CR,Critically Endangered
Banksia serratuloides subsp. serratuloides,Southern Serrate Dryandra,VU,Vulnerable
Banksia sessilis var. cordata,,P4,"Priority 4: Rare, Near Threatened"
Banksia shanklandiorum,,P4,"Priority 4: Rare, Near Threatened"
Banksia solandri,Stirling Range Banksia,P4,"Priority 4: Rare, Near Threatened"
Banksia sp. Boyup Brook (L.W. Sage LWS 2366),,P1,Priority 1: Poorly-known species
Banksia sphaerocarpa var. dolichostyla,Ironcap Banksia,VU,Vulnerable
Banksia sphaerocarpa var. latifolia,,P2,Priority 2: Poorly-known species
Banksia splendida subsp. macrocarpa,,P3,Priority 3: Poorly-known species
Banksia splendida subsp. splendida,,P2,Priority 2: Poorly-known species
Banksia squarrosa subsp. argillacea,Whicher Range Dryandra,VU,Vulnerable
Banksia subpinnatifida var. imberbis,,P3,Priority 3: Poorly-known species
Banksia subpinnatifida var. subpinnatifida,,P2,Priority 2: Poorly-known species
Banksia subulata,Awled Honeypot,P3,Priority 3: Poorly-known species
Banksia tricuspis,Pine Banksia,P4,"Priority 4: Rare, Near Threatened"
Banksia trifontinalis,,P3,Priority 3: Poorly-known species
Banksia verticillata,Albany Banksia,CR,Critically Endangered
Banksia viscida,,P3,Priority 3: Poorly-known species
Banksia wonganensis,,P4,"Priority 4: Rare, Near Threatened"
Banksia xylothemelia,,P3,Priority 3: Poorly-known species
Barbula ehrenbergii,,P1,Priority 1: Poorly-known species
Beaufortia bicolor,Badgingarra Beaufortia,P3,Priority 3: Poorly-known species
Beaufortia burbidgeae,Column Beaufortia,P3,Priority 3: Poorly-known species
Beaufortia eriocephala,"Woolly Bottlebrush, Woolly Beaufortia",P3,Priority 3: Poorly-known species
Beaufortia purpurea,Purple Beaufortia,P3,Priority 3: Poorly-known species
Beaufortia raggedensis,Mount Ragged Beaufortia,P2,Priority 2: Poorly-known species
Bentleya diminuta,,P2,Priority 2: Poorly-known species
Bentleya spinescens,,P4,"Priority 4: Rare, Near Threatened"
Bergia auriculata,,P2,Priority 2: Poorly-known species
Bergia occultipetala,,P3,Priority 3: Poorly-known species
Beyeria apiculata,,P1,Priority 1: Poorly-known species
Beyeria cinerea subsp. cinerea,,P3,Priority 3: Poorly-known species
Beyeria cockertonii,,VU,Vulnerable
Beyeria constellata,,P1,Priority 1: Poorly-known species
Beyeria disciformis,,P1,Priority 1: Poorly-known species
Beyeria gardneri,,P3,Priority 3: Poorly-known species
Beyeria lapidicola,,P1,Priority 1: Poorly-known species
Beyeria lateralis,,P2,Priority 2: Poorly-known species
Beyeria lepidopetala,Short-petalled Beyeria,VU,Vulnerable
Beyeria opaca,,P1,Priority 1: Poorly-known species
Beyeria physaphylla,,P1,Priority 1: Poorly-known species
Beyeria rostellata,,P1,Priority 1: Poorly-known species
Beyeria similis,,P2,Priority 2: Poorly-known species
Beyeria simplex,,P2,Priority 2: Poorly-known species
Beyeria sulcata var. truncata,,P3,Priority 3: Poorly-known species
Beyeria villosa,,P4,"Priority 4: Rare, Near Threatened"
Blackallia nudiflora,Wedge-leaved Cryptandra,P3,Priority 3: Poorly-known species
Blennospora doliiformis,,P3,Priority 3: Poorly-known species
Blumea pungens,,P2,Priority 2: Poorly-known species
Bolboschoenus fluviatilis,,P1,Priority 1: Poorly-known species
Bolboschoenus medianus,,P1,Priority 1: Poorly-known species
Bonamia brevifolia,,P1,Priority 1: Poorly-known species
Bonamia oblongifolia,,P3,Priority 3: Poorly-known species
Bonamia wilsoniae,,P3,Priority 3: Poorly-known species
Boronia adamsiana,Barbalin Boronia,VU,Vulnerable
Boronia anceps,,P3,Priority 3: Poorly-known species
Boronia anomala,,P1,Priority 1: Poorly-known species
Boronia barrettiorum,,P2,Priority 2: Poorly-known species
Boronia capitata subsp. capitata,a shrub,VU,Vulnerable
Boronia capitata subsp. gracilis,,P3,Priority 3: Poorly-known species
Boronia clavata subsp. clavata,,VU,Vulnerable
Boronia clavata subsp. grandis,,P2,Priority 2: Poorly-known species
Boronia coriacea,,P2,Priority 2: Poorly-known species
Boronia corynophylla,,P2,Priority 2: Poorly-known species
Boronia crassipes,,P3,Priority 3: Poorly-known species
Boronia cremnophila,Kimberley Cliff Boronia,P1,Priority 1: Poorly-known species
Boronia crenulata subsp. crenulata var. angustifolia,,P4,"Priority 4: Rare, Near Threatened"
Boronia crenulata subsp. Shark Bay (G. Cockerton 5187),,P1,Priority 1: Poorly-known species
Boronia denticulata subsp. whoogarupensis,,P2,Priority 2: Poorly-known species
Boronia ericifolia,,P2,Priority 2: Poorly-known species
Boronia exilis,Scott River Boronia,EN,Endangered
Boronia filicifolia,,P2,Priority 2: Poorly-known species
Boronia humifusa,,P1,Priority 1: Poorly-known species
Boronia interrex,Prince Regent River Boronia,P2,Priority 2: Poorly-known species
Boronia jucunda,,P1,Priority 1: Poorly-known species
Boronia juncea subsp. juncea,,P1,Priority 1: Poorly-known species
Boronia kalumburuensis,,P3,Priority 3: Poorly-known species
Boronia marcoana,Duretto's Boronia,P1,Priority 1: Poorly-known species
Boronia minutipinna,,P2,Priority 2: Poorly-known species
Boronia oxyantha var. oxyantha,,P2,Priority 2: Poorly-known species
Boronia pauciflora,,P3,Priority 3: Poorly-known species
Boronia revoluta,Ironcaps Boronia,VU,Vulnerable
Boronia scabra subsp. attenuata,,P3,Priority 3: Poorly-known species
Boronia scabra subsp. condensata,,P2,Priority 2: Poorly-known species
Boronia sp. Leeuwin (J. Scott 235),,P2,Priority 2: Poorly-known species
Boronia ternata var. promiscua,,P3,Priority 3: Poorly-known species
