,Taxon_Id,Kingdom,Class,Family,Scientific_name,Common_name,Taxon_author,NCA_status,EPBC_status,Significant,Confidential,Endemicity
176,1987,animals,birds,Anatidae,Stictonetta naevosa,freckled duck,"(Gould, 1841)",C,,N,N,QA
177,1976,animals,birds,Anatidae,Tadorna tadornoides,Australian shelduck,"(Jardine & Selby, 1828)",C,,N,N,VU
178,1286,animals,birds,Phaethontidae,Phaethon lepturus,white-tailed tropicbird,"Daudin, 1802",SL,,Y,N,QAI
179,1273,animals,birds,Phaethontidae,Phaethon rubricauda,red-tailed tropicbird,"Boddaert, 1783",V,,Y,N,QAI
180,1271,animals,birds,Podicipedidae,Podiceps cristatus,great crested grebe,"(Linnaeus, 1758)",C,,N,N,QAI
181,1260,animals,birds,Podicipedidae,Poliocephalus poliocephalus,hoary-headed grebe,"(Jardine & Selby, 1827)",C,,N,N,QA
182,1249,animals,birds,Podicipedidae,Tachybaptus novaehollandiae,Australasian grebe,"(Stephens, 1826)",C,,N,N,QAI
183,1801,animals,birds,Columbidae,Chalcophaps longirostris,Pacific emerald dove,"Gould, 1848",C,,N,N,QA
184,1803,animals,birds,Columbidae,Columba leucomela,white-headed pigeon,"Temminck, 1821",C,,N,N,QA
185,1804,animals,birds,Columbidae,Columba livia,rock dove,"Gmelin, 1789",,,N,N,II
186,1806,animals,birds,Columbidae,Ducula bicolor,pied imperial-pigeon,"(Scopoli, 1786)",C,,N,N,QAI
187,1807,animals,birds,Columbidae,Ducula mullerii,collared imperial-pigeon,"(Temminck, 1835)",C,,N,N,VU
188,36400,animals,birds,Columbidae,Ducula zoeae,Zoe's imperial-pigeon,"(Desmarest, 1826)",C,,N,N,VI
189,1809,animals,birds,Columbidae,Geopelia cuneata,diamond dove,"(Latham, 1801)",C,,N,N,QA
190,1810,animals,birds,Columbidae,Geopelia humeralis,bar-shouldered dove,"Temminck, 1821",C,,N,N,QAI
191,18323,animals,birds,Columbidae,Geopelia placida,peaceful dove,,C,,N,N,QAI
192,1798,animals,birds,Columbidae,Geophaps plumifera,spinifex pigeon,"Gould, 1842",C,,N,N,QA
193,1784,animals,birds,Columbidae,Geophaps scripta,squatter pigeon,"(Temminck, 1821)",C,,N,N,QA
194,18439,animals,birds,Columbidae,Geophaps scripta peninsulae,squatter pigeon (northern subspecies),"White, 1922",C,,N,N,Q
195,1785,animals,birds,Columbidae,Geophaps scripta scripta,squatter pigeon (southern subspecies),"Temminck, 1821",V,V,Y,N,QA
196,1787,animals,birds,Columbidae,Leucosarcia melanoleuca,wonga pigeon,"(Latham, 1801)",C,,N,N,QA
197,1789,animals,birds,Columbidae,Lopholaimus antarcticus,topknot pigeon,"(Shaw, 1794)",C,,N,N,QA
198,1791,animals,birds,Columbidae,Macropygia amboinensis,brown cuckoo-dove,"(Linnaeus, 1766)",C,,N,N,QAI
199,1793,animals,birds,Columbidae,Ocyphaps lophotes,crested pigeon,"(Temminck, 1822)",C,,N,N,QA
200,1795,animals,birds,Columbidae,Phaps chalcoptera,common bronzewing,"(Latham, 1790)",C,,N,N,QA
201,1781,animals,birds,Columbidae,Phaps elegans,brush bronzewing,"(Temminck, 1810)",C,,N,N,QA
202,1782,animals,birds,Columbidae,Phaps histrionica,flock bronzewing,"(Gould, 1841)",C,,N,N,QA
203,36399,animals,birds,Columbidae,Ptilinopus aurantiifrons,orange-fronted fruit-dove,"Gray, 1858",C,,N,N,VI
204,32023,animals,birds,Columbidae,Ptilinopus iozonus,orange-bellied fruit-dove,"(G.R. Gray, 1858)",C,,N,N,VI
205,1770,animals,birds,Columbidae,Ptilinopus magnificus,wompoo fruit-dove,"(Temminck, 1821)",C,,N,N,QAI
206,1771,animals,birds,Columbidae,Ptilinopus regina,rose-crowned fruit-dove,"Swainson, 1825",C,,N,N,QAI
207,1773,animals,birds,Columbidae,Ptilinopus superbus,superb fruit-dove,"(Temminck, 1810)",C,,N,N,QAI
208,1774,animals,birds,Columbidae,Streptopelia chinensis,spotted dove,"(Scopoli, 1786)",,,N,N,II
209,1951,animals,birds,Podargidae,Podargus ocellatus marmoratus,marbled frogmouth,"Quoy & Gaimard, 1830",C,,N,N,Q
210,1952,animals,birds,Podargidae,Podargus ocellatus plumiferus,plumed frogmouth,"Gould, 1846",V,,Y,N,QA
211,1953,animals,birds,Podargidae,Podargus papuensis,Papuan frogmouth,"Quoy & Gaimard, 1830",C,,N,N,QAI
212,1955,animals,birds,Podargidae,Podargus strigoides,tawny frogmouth,"(Latham, 1801)",C,,N,N,QA
213,1962,animals,birds,Eurostopodidae,Eurostopodus argus,spotted nightjar,"Hartert, 1892",C,,N,N,QA
214,1949,animals,birds,Eurostopodidae,Eurostopodus mystacalis,white-throated nightjar,"(Temminck, 1826)",C,,N,N,QAI
215,1975,animals,birds,Caprimulgidae,Caprimulgus macrurus,large-tailed nightjar,"Horsfield, 1821",C,,N,N,QAI
216,1973,animals,birds,Aegothelidae,Aegotheles cristatus,Australian owlet-nightjar,"(Shaw, 1790)",C,,N,N,QAI
217,1969,animals,birds,Apodidae,Aerodramus terraereginae,Australian swiftlet,"(Ramsay, 1875)",C,,N,N,QA
