scientificName,vernacularName,status,sourceStatus
Glycine canescens,Silky Glycine,Critically Endangered,Critically Endangered
Glycine latrobeana,Clover Glycine,Vulnerable,Vulnerable
Gnephosis drummondii,Slender Cup-flower,Endangered,Endangered
Gnephosis tenuissima,Dwarf Cup-flower,Endangered,Endangered
Gompholobium glabratum,Dainty Wedge-pea,Vulnerable,Vulnerable
Gompholobium inconspicuum,Creeping Wedge-pea,Endangered,Endangered
Gonocarpus mezianus,Hairy Raspwort,Vulnerable,Vulnerable
Gonocarpus serpyllifolius,Flat Raspwort,Vulnerable,Vulnerable
Goodenia arguta,Grassland Goodenia,Endangered,Endangered
Goodenia bellidifolia subsp. bellidifolia,Daisy Goodenia,Vulnerable,Vulnerable
Goodenia benthamiana,Small-leaf Goodenia,Endangered,Endangered
Goodenia connata,Cup Goodenia,Endangered,Endangered
Goodenia havilandii,Hill Goodenia,Critically Endangered,Critically Endangered
Goodenia heterophylla subsp. heterophylla,Variable Goodenia,Vulnerable,Vulnerable
Goodenia lineata,Grampians Goodenia,Vulnerable,Vulnerable
Goodenia lunata,Stiff Goodenia,Critically Endangered,Critically Endangered
Goodenia macbarronii,Narrow Goodenia,Endangered,Endangered
Goodenia macmillanii,Pinnate Goodenia,Vulnerable,Vulnerable
Goodenia stelligera,Spiked Goodenia,Vulnerable,Vulnerable
Goodia medicaginea,Western Golden-tip,Endangered,Endangered
Goodia pubescens,Silky Golden-tip,Endangered,Endangered
Gratiola nana,Matted Brooklime,Endangered,Endangered
Gratiola pumilo,Dwarf Brooklime,Endangered,Endangered
Grevillea alpivaga,Buffalo Grevillea,Critically Endangered,Critically Endangered
Grevillea angustiloba subsp. angustiloba,Narrow-lobe Grevillea,Endangered,Endangered
Grevillea angustiloba subsp. wirregaensis,Wirrega Grevillea,Critically Endangered,Critically Endangered
Grevillea barklyana,Gully Grevillea,Critically Endangered,Critically Endangered
Grevillea bedggoodiana,Enfield Grevillea,Endangered,Endangered
Grevillea brevifolia,Cobberas Grevillea,Endangered,Endangered
Grevillea burrowa,Burrowa Grevillea,Critically Endangered,Critically Endangered
Grevillea callichlaena,Benambra Grevillea,Critically Endangered,Critically Endangered
Grevillea celata,Colquhoun Grevillea,Critically Endangered,Critically Endangered
Grevillea chrysophaea,Golden Grevillea,Vulnerable,Vulnerable
Grevillea confertifolia,Grampians Grevillea,Endangered,Endangered
Grevillea dimorpha,Flame Grevillea,Endangered,Endangered
Grevillea dryophylla,Goldfields Grevillea,Endangered,Endangered
Grevillea floripendula,Ben Major Grevillea,Critically Endangered,Critically Endangered
Grevillea infecunda,Anglesea Grevillea,Endangered,Endangered
Grevillea jephcottii,Green Grevillea,Endangered,Endangered
